Closing_Period,Chart_of_Accounts,Actual,Budget
20220430,117-50070,170005.34,142500
20220430,117-50080,103995.32,95000
20220430,117-60010,-63764.64,-60000
20220430,117-60020,-49795.53,-45000
20220430,117-60030,-35961.64,-30000
20220430,117-60040,-22057.87,-22500
20220430,117-60050,-20101.14,-18750
20220430,117-70010,-16745.58,-15833.33
20220430,117-70020,-14106.4,-11875
20220430,117-70030,-14393.34,-14250
20220430,117-70040,-17633.6,-17416.67
20220430,117-70050,-23369.73,-23750
20220430,117-70060,-41152.8,-39583.33
20220430,117-70070,-6576.7,-6333.33
20220430,117-70080,-10097.68,-9500
20220430,117-70090,-7439.53,-7125
20220430,117-70100,-6438.39,-5937.5
20220430,117-80010,-13234.59,-12500
20220430,117-80020,-16963.99,-16666.67
20220430,117-80030,-8315.24,-8333.33
20220430,117-80040,5954.1,6250
20220430,117-80050,5079.42,4166.67
20220430,117-90010,-30244.77,-33333.33
20220430,117-90020,-8895.27,-8333.33
20220430,117-90030,-3717.44,-4166.67
20220430,118-50010,368760.95,395833.33
20220430,118-50020,426007.57,316666.67
20220430,118-50030,216423.88,237500
20220430,118-50040,252762.17,197916.67
20220430,118-50050,192851.15,158333.33
20220430,118-50060,128035.39,118750
20220430,118-50070,147417.76,142500
20220430,118-50080,96493.18,95000
20220430,118-60010,-53678.51,-60000
20220430,118-60020,-57213.34,-45000
20220430,118-60030,-34664.61,-30000
20220430,118-60040,-26055.14,-22500
20220430,118-60050,-21680.19,-18750
20220430,118-70010,-17134.85,-15833.33
20220430,118-70020,-11951.07,-11875
20220430,118-70030,-14710.17,-14250
20220430,118-70040,-19403.7,-17416.67
20220430,118-70050,-25450.88,-23750
20220430,118-70060,-42504.89,-39583.33
20220430,118-70070,-6992.7,-6333.33
20220430,118-70080,-9948.4,-9500
20220430,118-70090,-7495.55,-7125
20220430,118-70100,-6102.31,-5937.5
20220430,118-80010,-12333.42,-12500
20220430,118-80020,-15925.27,-16666.67
20220430,118-80030,-8470.93,-8333.33
20220430,118-80040,5683.03,6250
20220430,118-80050,4065.17,4166.67
20220430,118-90010,-32661.41,-33333.33
20220430,118-90020,-8402.83,-8333.33
20220430,118-90030,-4648.7,-4166.67
20220430,119-50010,385477.81,395833.33
20220430,119-50020,299850.46,316666.67
20220430,119-50030,229508.67,237500
20220430,119-50040,207333.03,197916.67
20220430,119-50050,209451.67,158333.33
20220430,119-50060,118547.13,118750
20220430,119-50070,138913.05,142500
20220430,119-50080,91033.64,95000
20220430,119-60010,-71880.98,-60000
20220430,119-60020,-54580.84,-45000
20220430,119-60030,-37513.19,-30000
20220430,119-60040,-23146.35,-22500
20220430,119-60050,-23685.15,-18750
20220430,119-70010,-17584.39,-15833.33
20220430,119-70020,-11411.25,-11875
20220430,119-70030,-14410.84,-14250
20220430,119-70040,-16677.98,-17416.67
20220430,119-70050,-26622.59,-23750
20220430,119-70060,-41505.59,-39583.33
20220430,119-70070,-6323.55,-6333.33
20220430,119-70080,-10078.28,-9500
20220430,119-70090,-7018.21,-7125
20220430,119-70100,-6160.11,-5937.5
20220430,119-80010,-12015.3,-12500
20220430,119-80020,-17985.03,-16666.67
20220430,119-80030,-9241.64,-8333.33
20220430,119-80040,6185.42,6250
20220430,119-80050,4392.61,4166.67
20220430,119-90010,-34058.66,-33333.33
20220430,119-90020,-9366.67,-8333.33
20220430,119-90030,-4178.58,-4166.67
20220430,120-50010,446536.8,395833.33
20220430,120-50020,371111.06,316666.67
20220430,120-50030,199286.09,237500
20220430,120-50040,214773.92,197916.67
20220430,120-50050,186535.15,158333.33
20220430,120-50060,144346.66,118750
20220430,120-50070,146048.97,142500
20220430,120-50080,72281.85,95000
20220430,120-60010,-61029.29,-60000
20220430,120-60020,-42067.79,-45000
20220430,120-60030,-39401.42,-30000
20220430,120-60040,-24282.59,-22500
20220430,120-60050,-18907.32,-18750
20220430,120-70010,-17127,-15833.33
20220430,120-70020,-11634.64,-11875
20220430,120-70030,-14351.43,-14250
20220430,120-70040,-17348.63,-17416.67
20220430,120-70050,-27048.22,-23750
20220430,120-70060,-42638,-39583.33
20220430,120-70070,-6280.34,-6333.33
20220430,120-70080,-10337.05,-9500
20220430,120-70090,-7669.46,-7125
20220430,120-70100,-6210.78,-5937.5
20220430,120-80010,-10154.87,-12500
20220430,120-80020,-16810.37,-16666.67
20220430,120-80030,-8423.47,-8333.33
20220430,120-80040,6087.08,6250
20220430,120-80050,4146.81,4166.67
20220430,120-90010,-30074.97,-33333.33
20220430,120-90020,-8353.63,-8333.33
20220430,120-90030,-4655.94,-4166.67
20220430,121-50010,398514.59,395833.33
20220430,121-50020,334165.02,316666.67
20220430,121-50030,212142.91,237500
20220430,121-50040,168038.39,197916.67
20220430,121-50050,156047.75,158333.33
20220430,121-50060,113851.62,118750
20220430,121-50070,163883.7,142500
20220430,121-50080,96981.3,95000
20220430,121-60010,-71593.63,-60000
20220430,121-60020,-48287.45,-45000
20220430,121-60030,-37287.51,-30000
20220430,121-60040,-27175.29,-22500
20220430,121-60050,-21218.83,-18750
20220430,121-70010,-16710.83,-15833.33
20220430,121-70020,-11362.68,-11875
20220430,121-70030,-15069.77,-14250
20220430,121-70040,-19668.49,-17416.67
20220430,121-70050,-25691.39,-23750
20220430,121-70060,-47142.73,-39583.33
20220430,121-70070,-6977.92,-6333.33
20220430,121-70080,-9795.41,-9500
20220430,121-70090,-7673.71,-7125
20220430,121-70100,-6200.84,-5937.5
20220430,121-80010,-10667.29,-12500
20220430,121-80020,-15327.06,-16666.67
20220430,121-80030,-7972.56,-8333.33
20220430,121-80040,6122.03,6250
20220430,121-80050,4117.79,4166.67
20220430,121-90010,-33683.84,-33333.33
20220430,121-90020,-8860.65,-8333.33
20220430,121-90030,-4218.39,-4166.67
20220430,122-50010,408293.68,395833.33
20220430,122-50020,346589.37,316666.67
20220430,122-50030,217440.48,237500
20220430,122-50040,235391.2,197916.67
20220430,122-50050,164267.52,158333.33
20220430,122-50060,103922.24,118750
20220430,122-50070,138356.4,142500
20220430,122-50080,96141.7,95000
20220430,122-60010,-66734.45,-60000
20220430,122-60020,-54378.89,-45000
20220430,122-60030,-32908.86,-30000
20220430,122-60040,-26152.79,-22500
20220430,122-60050,-22266.13,-18750
20220430,122-70010,-16198.12,-15833.33
20220430,122-70020,-12346.03,-11875
20220430,122-70030,-15657.85,-14250
20220430,122-70040,-17491.09,-17416.67
20220430,122-70050,-26681.22,-23750
20220430,122-70060,-46862.78,-39583.33
20220430,122-70070,-7056.31,-6333.33
20220430,122-70080,-9910.93,-9500
20220430,122-70090,-7775.09,-7125
20220430,122-70100,-6231.04,-5937.5
20220430,122-80010,-12541.19,-12500
20220430,122-80020,-16340.86,-16666.67
20220430,122-80030,-7562.85,-8333.33
20220430,122-80040,6232.15,6250
20220430,122-80050,3949.4,4166.67
20220430,122-90010,-33740.33,-33333.33
20220430,122-90020,-8944.49,-8333.33
20220430,122-90030,-4084.18,-4166.67
20220430,123-50010,458245.4,395833.33
20220430,123-50020,303395.84,316666.67
20220430,123-50030,219030.56,237500
20220430,123-50040,221200.53,197916.67
20220430,123-50050,203333.76,158333.33
20220430,123-50060,129725.6,118750
20220430,123-50070,136221.93,142500
20220430,123-50080,119777.94,95000
20220430,123-60010,-64553.95,-60000
20220430,123-60020,-57235.79,-45000
20220430,123-60030,-31548.83,-30000
20220430,123-60040,-27518.22,-22500
20220430,123-60050,-22393.51,-18750
20220430,123-70010,-16392.19,-15833.33
20220430,123-70020,-11591.41,-11875
20220430,123-70030,-14715.33,-14250
20220430,123-70040,-17869.47,-17416.67
20220430,123-70050,-26139.05,-23750
20220430,123-70060,-42108.87,-39583.33
20220430,123-70070,-7069.98,-6333.33
20220430,123-70080,-10557.42,-9500
20220430,123-70090,-8538.25,-7125
20220430,123-70100,-6741.94,-5937.5
20220430,123-80010,-13233.54,-12500
20220430,123-80020,-15018.48,-16666.67
20220430,123-80030,-7770.81,-8333.33
20220430,123-80040,6652.05,6250
20220430,123-80050,3923.96,4166.67
20220430,123-90010,-32407.8,-33333.33
20220430,123-90020,-7361.62,-8333.33
20220430,123-90030,-4409.48,-4166.67
20220430,124-50010,370823.99,395833.33
20220430,124-50020,336011.93,316666.67
20220430,124-50030,240846.5,237500
20220430,124-50040,161677.28,197916.67
20220430,124-50050,189068.77,158333.33
20220430,124-50060,140575.26,118750
20220430,124-50070,155010.34,142500
20220430,124-50080,92403.7,95000
20220430,124-60010,-67821.86,-60000
20220430,124-60020,-51125.73,-45000
20220430,124-60030,-34990.79,-30000
20220430,124-60040,-19918.19,-22500
20220430,124-60050,-24120.66,-18750
20220430,124-70010,-15548.99,-15833.33
20220430,124-70020,-13438.88,-11875
20220430,124-70030,-15659.92,-14250
20220430,124-70040,-16871.55,-17416.67
20220430,124-70050,-26460.28,-23750
20220430,124-70060,-45861.74,-39583.33
20220430,124-70070,-6855.06,-6333.33
20220430,124-70080,-9623.26,-9500
20220430,124-70090,-7921.97,-7125
20220430,124-70100,-5774.43,-5937.5
20220430,124-80010,-13819.65,-12500
20220430,124-80020,-15838.8,-16666.67
20220430,124-80030,-9290.87,-8333.33
20220430,124-80040,5871.56,6250
20220430,124-80050,3808.23,4166.67
20220430,124-90010,-38485.99,-33333.33
20220430,124-90020,-8087.25,-8333.33
20220430,124-90030,-4322.96,-4166.67
20220430,125-50010,386608.35,395833.33
20220430,125-50020,379457.76,316666.67
20220430,125-50030,213341.58,237500
20220430,125-50040,212355.31,197916.67
20220430,125-50050,140385.77,158333.33
20220430,125-50060,160666.45,118750
20220430,125-50070,150439.94,142500
20220430,125-50080,103504.16,95000
20220430,125-60010,-70635.57,-60000
20220430,125-60020,-46862.28,-45000
20220430,125-60030,-36146.42,-30000
20220430,125-60040,-28141.28,-22500
20220430,125-60050,-19470.08,-18750
20220430,125-70010,-16029.36,-15833.33
20220430,125-70020,-11622.18,-11875
20220430,125-70030,-14526.26,-14250
20220430,125-70040,-18847.49,-17416.67
20220430,125-70050,-24741.03,-23750
20220430,125-70060,-39850.88,-39583.33
20220430,125-70070,-6612.11,-6333.33
20220430,125-70080,-10923.15,-9500
20220430,125-70090,-7361.75,-7125
20220430,125-70100,-6162.77,-5937.5
20220430,125-80010,-11444.52,-12500
20220430,125-80020,-17133.32,-16666.67
20220430,125-80030,-6792,-8333.33
20220430,125-80040,7678.22,6250
20220430,125-80050,4274.06,4166.67
20220430,125-90010,-30616.95,-33333.33
20220430,125-90020,-7497.06,-8333.33
20220430,125-90030,-3757.08,-4166.67
20220430,126-50010,577648.82,395833.33
20220430,126-50020,379971.24,316666.67
20220430,126-50030,301705.23,237500
20220430,126-50040,159083.64,197916.67
20220430,126-50050,144319.54,158333.33
20220430,126-50060,125243.96,118750
20220430,126-50070,181719.21,142500
20220430,126-50080,101545.63,95000
20220430,126-60010,-63325.13,-60000
20220430,126-60020,-51276.32,-45000
20220430,126-60030,-31614.55,-30000
20220430,126-60040,-22501.67,-22500
20220430,126-60050,-17928.37,-18750
20220430,126-70010,-16489.63,-15833.33
20220430,126-70020,-11645.54,-11875
20220430,126-70030,-14431.41,-14250
20220430,126-70040,-18411.69,-17416.67
20220430,126-70050,-24672.72,-23750
20220430,126-70060,-44976.85,-39583.33
20220430,126-70070,-6771.98,-6333.33
20220430,126-70080,-9784.53,-9500
20220430,126-70090,-8593.24,-7125
20220430,126-70100,-6446.04,-5937.5
20220430,126-80010,-12261.57,-12500
20220430,126-80020,-15470.78,-16666.67
20220430,126-80030,-6818.84,-8333.33
20220430,126-80040,6818.09,6250
20220430,126-80050,4385.42,4166.67
20220430,126-90010,-37684.62,-33333.33
20220430,126-90020,-7789.09,-8333.33
20220430,126-90030,-4204.72,-4166.67
20220430,127-50010,420108.74,395833.33
20220430,127-50020,298579.52,316666.67
20220430,127-50030,223009.28,237500
20220430,127-50040,201334.37,197916.67
20220430,127-50050,176449.93,158333.33
20220430,127-50060,106502.57,118750
20220430,127-50070,140685.15,142500
20220430,127-50080,120900.01,95000
20220430,127-60010,-64627.83,-60000
20220430,127-60020,-55499.66,-45000
20220430,127-60030,-28075.98,-30000
20220430,127-60040,-23134.97,-22500
20220430,127-60050,-17763.44,-18750
20220430,127-70010,-17749.49,-15833.33
20220430,127-70020,-13472.5,-11875
20220430,127-70030,-16175.82,-14250
20220430,127-70040,-19930.46,-17416.67
20220430,127-70050,-21848.08,-23750
20220430,127-70060,-41057.09,-39583.33
20220430,127-70070,-6659.63,-6333.33
20220430,127-70080,-10226.72,-9500
20220430,127-70090,-7303.09,-7125
20220430,127-70100,-6271.05,-5937.5
20220430,127-80010,-10999.29,-12500
20220430,127-80020,-16393.96,-16666.67
20220430,127-80030,-8715.06,-8333.33
20220430,127-80040,5333.84,6250
20220430,127-80050,4373.18,4166.67
20220430,127-90010,-31403.82,-33333.33
20220430,127-90020,-7688.16,-8333.33
20220430,127-90030,-4025.07,-4166.67
20220430,128-50010,509520.38,395833.33
20220430,128-50020,297820.49,316666.67
20220430,128-50030,264294.94,237500
20220430,128-50040,223809.75,197916.67
20220430,128-50050,156794.52,158333.33
20220430,128-50060,156936.52,118750
20220430,128-50070,178799.02,142500
20220430,128-50080,103376.72,95000
20220430,128-60010,-66584.49,-60000
20220430,128-60020,-54815.57,-45000
20220430,128-60030,-35320.06,-30000
20220430,128-60040,-29907.5,-22500
20220430,128-60050,-19897.13,-18750
20220430,128-70010,-15861.67,-15833.33
20220430,128-70020,-12135.97,-11875
20220430,128-70030,-15300.59,-14250
20220430,128-70040,-17837.19,-17416.67
20220430,128-70050,-23817.61,-23750
20220430,128-70060,-43517.52,-39583.33
20220430,128-70070,-6168.9,-6333.33
20220430,128-70080,-10069.74,-9500
20220430,128-70090,-8100.1,-7125
20220430,128-70100,-6265.77,-5937.5
20220430,128-80010,-12412.25,-12500
20220430,128-80020,-18065.43,-16666.67
20220430,128-80030,-7904.35,-8333.33
20220430,128-80040,5443.99,6250
20220430,128-80050,4211,4166.67
20220430,128-90010,-33855.39,-33333.33
20220430,128-90020,-8069.57,-8333.33
20220430,128-90030,-4415.57,-4166.67
20220430,129-50010,501508.51,395833.33
20220430,129-50020,312705.83,316666.67
20220430,129-50030,222648.45,237500
20220430,129-50040,252422.37,197916.67
20220430,129-50050,208551.71,158333.33
20220430,129-50060,132536.08,118750
20220430,129-50070,154151.93,142500
20220430,129-50080,105251.8,95000
20220430,129-60010,-75391.32,-60000
20220430,129-60020,-44870.98,-45000
20220430,129-60030,-32736.56,-30000
20220430,129-60040,-23459.97,-22500
20220430,129-60050,-22458.77,-18750
20220430,129-70010,-15609.05,-15833.33
20220430,129-70020,-13479.47,-11875
20220430,129-70030,-15057.45,-14250
20220430,129-70040,-16928.65,-17416.67
20220430,129-70050,-25410.65,-23750
20220430,129-70060,-42025.7,-39583.33
20220430,129-70070,-6769.83,-6333.33
20220430,129-70080,-10150.54,-9500
20220430,129-70090,-7630.42,-7125
20220430,129-70100,-6852.39,-5937.5
20220430,129-80010,-11255.38,-12500
20220430,129-80020,-16022.27,-16666.67
20220430,129-80030,-8262.66,-8333.33
20220430,129-80040,6146.75,6250
20220430,129-80050,4028.45,4166.67
20220430,129-90010,-33423.18,-33333.33
20220430,129-90020,-8859.48,-8333.33
20220430,129-90030,-4264.07,-4166.67
20220430,130-50010,445431.18,395833.33
20220430,130-50020,290256.6,316666.67
20220430,130-50030,217644.62,237500
20220430,130-50040,178525.53,197916.67
20220430,130-50050,178282.57,158333.33
20220430,130-50060,112338.15,118750
20220430,130-50070,142014.3,142500
20220430,130-50080,84021.03,95000
20220430,130-60010,-67875.72,-60000
20220430,130-60020,-51692.82,-45000
20220430,130-60030,-29526.45,-30000
20220430,130-60040,-22213.87,-22500
20220430,130-60050,-21329.4,-18750
20220430,130-70010,-16101.64,-15833.33
20220430,130-70020,-13033.51,-11875
20220430,130-70030,-14604.13,-14250
20220430,130-70040,-17130.35,-17416.67
20220430,130-70050,-22926.3,-23750
20220430,130-70060,-41173.44,-39583.33
20220430,130-70070,-6965.68,-6333.33
20220430,130-70080,-10128.33,-9500
20220430,130-70090,-7641.71,-7125
20220430,130-70100,-6503.33,-5937.5
20220430,130-80010,-11325.84,-12500
20220430,130-80020,-16899.98,-16666.67
20220430,130-80030,-7188.63,-8333.33
20220430,130-80040,5707.59,6250
20220430,130-80050,3234.85,4166.67
20220430,130-90010,-30707.81,-33333.33
20220430,130-90020,-7838.01,-8333.33
20220430,130-90030,-4524.23,-4166.67
20220430,131-50010,455417.11,395833.33
20220430,131-50020,376952.69,316666.67
20220430,131-50030,284130.8,237500
20220430,131-50040,260506.36,197916.67
20220430,131-50050,184340.21,158333.33
20220430,131-50060,128148.58,118750
20220430,131-50070,171139,142500
20220430,131-50080,104352.5,95000
20220430,131-60010,-66514.27,-60000
20220430,131-60020,-59169.69,-45000
20220430,131-60030,-36903.56,-30000
20220430,131-60040,-28399.17,-22500
20220430,131-60050,-19626.57,-18750
20220430,131-70010,-16764.05,-15833.33
20220430,131-70020,-12229.63,-11875
20220430,131-70030,-13918.76,-14250
20220430,131-70040,-19179.15,-17416.67
20220430,131-70050,-26087.08,-23750
20220430,131-70060,-41161.1,-39583.33
20220430,131-70070,-6575.33,-6333.33
20220430,131-70080,-9603.44,-9500
20220430,131-70090,-7735.02,-7125
20220430,131-70100,-5567.29,-5937.5
20220430,131-80010,-11877.74,-12500
20220430,131-80020,-16069.68,-16666.67
20220430,131-80030,-8024.49,-8333.33
20220430,131-80040,6662.34,6250
20220430,131-80050,3896.33,4166.67
20220430,131-90010,-33624.77,-33333.33
20220430,131-90020,-8198.98,-8333.33
20220430,131-90030,-3750.28,-4166.67
20220430,132-50010,389621.31,395833.33
20220430,132-50020,235095.06,316666.67
20220430,132-50030,245536.29,237500
20220430,132-50040,249925.35,197916.67
20220430,132-50050,197711.61,158333.33
20220430,132-50060,139294.05,118750
20220430,132-50070,194697.95,142500
20220430,132-50080,96567.44,95000
20220430,132-60010,-58312.91,-60000
20220430,132-60020,-44523.84,-45000
20220430,132-60030,-34613.44,-30000
20220430,132-60040,-26770.76,-22500
20220430,132-60050,-20528.01,-18750
20220430,132-70010,-17639.2,-15833.33
20220430,132-70020,-11982.7,-11875
20220430,132-70030,-15233.86,-14250
20220430,132-70040,-18138.79,-17416.67
20220430,132-70050,-24654.18,-23750
20220430,132-70060,-41309.17,-39583.33
20220430,132-70070,-6738.61,-6333.33
20220430,132-70080,-9685.22,-9500
20220430,132-70090,-7524.05,-7125
20220430,132-70100,-6384.63,-5937.5
20220430,132-80010,-12939.19,-12500
20220430,132-80020,-14109.48,-16666.67
20220430,132-80030,-9118.56,-8333.33
20220430,132-80040,5572.43,6250
20220430,132-80050,4297.4,4166.67
20220430,132-90010,-28400.25,-33333.33
20220430,132-90020,-7959.33,-8333.33
20220430,132-90030,-4382.85,-4166.67
20220430,133-50010,488437.12,395833.33
20220430,133-50020,350566.18,316666.67
20220430,133-50030,261562.42,237500
20220430,133-50040,176994.44,197916.67
20220430,133-50050,196760.33,158333.33
20220430,133-50060,156179.64,118750
20220430,133-50070,136897.4,142500
20220430,133-50080,135133.88,95000
20220430,133-60010,-61326.47,-60000
20220430,133-60020,-53094.5,-45000
20220430,133-60030,-28567.52,-30000
20220430,133-60040,-22286.51,-22500
20220430,133-60050,-22230.92,-18750
20220430,133-70010,-16719.58,-15833.33
20220430,133-70020,-12490.1,-11875
20220430,133-70030,-14287.4,-14250
20220430,133-70040,-17570.88,-17416.67
20220430,133-70050,-26699.66,-23750
20220430,133-70060,-43199.47,-39583.33
20220430,133-70070,-6618.74,-6333.33
20220430,133-70080,-9293.2,-9500
20220430,133-70090,-7718.56,-7125
20220430,133-70100,-5707.74,-5937.5
20220430,133-80010,-12843.08,-12500
20220430,133-80020,-15776.24,-16666.67
20220430,133-80030,-8411.1,-8333.33
20220430,133-80040,6405.51,6250
20220430,133-80050,3794.85,4166.67
20220430,133-90010,-31296.17,-33333.33
20220430,133-90020,-7532.1,-8333.33
20220430,133-90030,-4709.84,-4166.67
20220430,134-50010,378170.86,395833.33
20220430,134-50020,351966.06,316666.67
20220430,134-50030,247555.46,237500
20220430,134-50040,173319.32,197916.67
20220430,134-50050,174998.51,158333.33
20220430,134-50060,127049.65,118750
20220430,134-50070,200800.58,142500
20220430,134-50080,93845.16,95000
20220430,134-60010,-71612.82,-60000
20220430,134-60020,-44404.17,-45000
20220430,134-60030,-32216.7,-30000
20220430,134-60040,-24167.95,-22500
20220430,134-60050,-21854.15,-18750
20220430,134-70010,-16125.21,-15833.33
20220430,134-70020,-12500.97,-11875
20220430,134-70030,-14334.29,-14250
20220430,134-70040,-17160.61,-17416.67
20220430,134-70050,-23960.51,-23750
20220430,134-70060,-42880.41,-39583.33
20220430,134-70070,-6146.9,-6333.33
20220430,134-70080,-9700.19,-9500
20220430,134-70090,-7534.81,-7125
20220430,134-70100,-6845.82,-5937.5
20220430,134-80010,-11221.65,-12500
20220430,134-80020,-15343.85,-16666.67
20220430,134-80030,-9599.51,-8333.33
20220430,134-80040,5884.36,6250
20220430,134-80050,3807.34,4166.67
20220430,134-90010,-33908.63,-33333.33
20220430,134-90020,-7408.55,-8333.33
20220430,134-90030,-3915.82,-4166.67
20220430,135-50010,363422.42,395833.33
20220430,135-50020,314127.63,316666.67
20220430,135-50030,300907.76,237500
20220430,135-50040,256159.69,197916.67
20220430,135-50050,204841.19,158333.33
20220430,135-50060,149795.86,118750
20220430,135-50070,132773.11,142500
20220430,135-50080,92994,95000
20220430,135-60010,-79671.43,-60000
20220430,135-60020,-47054.58,-45000
20220430,135-60030,-33521.58,-30000
20220430,135-60040,-23571.53,-22500
20220430,135-60050,-20467.57,-18750
20220430,135-70010,-17189.23,-15833.33
20220430,135-70020,-12620.16,-11875
20220430,135-70030,-15329.24,-14250
20220430,135-70040,-17916.93,-17416.67
20220430,135-70050,-26262.08,-23750
20220430,135-70060,-42922.31,-39583.33
20220430,135-70070,-6536.81,-6333.33
20220430,135-70080,-10254.26,-9500
20220430,135-70090,-7001.73,-7125
20220430,135-70100,-5684.43,-5937.5
20220430,135-80010,-11832.2,-12500
20220430,135-80020,-15306.24,-16666.67
20220430,135-80030,-7880.45,-8333.33
20220430,135-80040,6235.03,6250
20220430,135-80050,4130.26,4166.67
20220430,135-90010,-37107.39,-33333.33
20220430,135-90020,-8302.49,-8333.33
20220430,135-90030,-4131.19,-4166.67
20220430,136-50010,380692.5,395833.33
20220430,136-50020,333234.54,316666.67
20220430,136-50030,264806.13,237500
20220430,136-50040,217950.33,197916.67
20220430,136-50050,134949.29,158333.33
20220430,136-50060,129132.87,118750
20220430,136-50070,200076.75,142500
20220430,136-50080,91181.21,95000
20220430,136-60010,-75126.37,-60000
20220430,136-60020,-51388.69,-45000
20220430,136-60030,-40271.61,-30000
20220430,136-60040,-24703.76,-22500
20220430,136-60050,-16006.48,-18750
20220430,136-70010,-17774.12,-15833.33
20220430,136-70020,-11811.04,-11875
20220430,136-70030,-15460.44,-14250
20220430,136-70040,-18132.86,-17416.67
20220430,136-70050,-23651.02,-23750
20220430,136-70060,-44094.55,-39583.33
20220430,136-70070,-6217.31,-6333.33
20220430,136-70080,-10410.6,-9500
20220430,136-70090,-7423.5,-7125
20220430,136-70100,-6517.26,-5937.5
20220430,136-80010,-12720.82,-12500
20220430,136-80020,-18069.04,-16666.67
20220430,136-80030,-8593.82,-8333.33
20220430,136-80040,6208.38,6250
20220430,136-80050,3921.53,4166.67
20220430,136-90010,-24924.56,-33333.33
20220430,136-90020,-8272.76,-8333.33
20220430,136-90030,-3858.18,-4166.67
20220430,137-50010,372150.94,395833.33
20220430,137-50020,289078.79,316666.67
20220430,137-50030,225889.38,237500
20220430,137-50040,261636.93,197916.67
20220430,137-50050,167955.57,158333.33
20220430,137-50060,124489.62,118750
20220430,137-50070,149319.07,142500
20220430,137-50080,124042.98,95000
20220430,137-60010,-58283.81,-60000
20220430,137-60020,-57248.98,-45000
20220430,137-60030,-32796.98,-30000
20220430,137-60040,-26503.86,-22500
20220430,137-60050,-21720.4,-18750
20220430,137-70010,-16208.17,-15833.33
20220430,137-70020,-12517.4,-11875
20220430,137-70030,-14952.5,-14250
20220430,137-70040,-18459.68,-17416.67
20220430,137-70050,-26753.28,-23750
20220430,137-70060,-43005.43,-39583.33
20220430,137-70070,-6624.73,-6333.33
20220430,137-70080,-10284.48,-9500
20220430,137-70090,-7538.79,-7125
20220430,137-70100,-6525.52,-5937.5
20220430,137-80010,-13097.52,-12500
20220430,137-80020,-16145.87,-16666.67
20220430,137-80030,-9172.88,-8333.33
20220430,137-80040,6771.54,6250
20220430,137-80050,4454.35,4166.67
20220430,137-90010,-29864.39,-33333.33
20220430,137-90020,-8430.6,-8333.33
20220430,137-90030,-4501.02,-4166.67
20220430,138-50010,472958.6,395833.33
20220430,138-50020,340565.34,316666.67
20220430,138-50030,284787.91,237500
20220430,138-50040,192350.58,197916.67
20220430,138-50050,172532.9,158333.33
20220430,138-50060,140489.37,118750
20220430,138-50070,98412.04,142500
20220430,138-50080,96640.87,95000
20220430,138-60010,-61054.56,-60000
20220430,138-60020,-50406.94,-45000
20220430,138-60030,-30051.29,-30000
20220430,138-60040,-24188.42,-22500
20220430,138-60050,-20814,-18750
20220430,138-70010,-16058.53,-15833.33
20220430,138-70020,-12696.42,-11875
20220430,138-70030,-15163.92,-14250
20220430,138-70040,-17853.77,-17416.67
20220430,138-70050,-26567.65,-23750
20220430,138-70060,-38866.01,-39583.33
20220430,138-70070,-6737.53,-6333.33
20220430,138-70080,-10508.76,-9500
20220430,138-70090,-7594.73,-7125
20220430,138-70100,-6787.88,-5937.5
20220430,138-80010,-13305.69,-12500
20220430,138-80020,-15334.02,-16666.67
20220430,138-80030,-8253.79,-8333.33
20220430,138-80040,6301.31,6250
20220430,138-80050,3859.15,4166.67
20220430,138-90010,-32169.47,-33333.33
20220430,138-90020,-8179.81,-8333.33
20220430,138-90030,-4299.95,-4166.67
20220430,139-50010,471442.95,395833.33
20220430,139-50020,328322.43,316666.67
20220430,139-50030,238071.11,237500
20220430,139-50040,257667.22,197916.67
20220430,139-50050,200624.52,158333.33
20220430,139-50060,77076.71,118750
20220430,139-50070,168787.99,142500
20220430,139-50080,115832.87,95000
20220430,139-60010,-54228.07,-60000
20220430,139-60020,-49281.7,-45000
20220430,139-60030,-39154.77,-30000
20220430,139-60040,-28107.62,-22500
20220430,139-60050,-23732.22,-18750
20220430,139-70010,-16832.4,-15833.33
20220430,139-70020,-11678.64,-11875
20220430,139-70030,-14826.24,-14250
20220430,139-70040,-17747.86,-17416.67
20220430,139-70050,-23790.18,-23750
20220430,139-70060,-38622.01,-39583.33
20220430,139-70070,-6998.21,-6333.33
20220430,139-70080,-9889.47,-9500
20220430,139-70090,-7738.82,-7125
20220430,139-70100,-5960.5,-5937.5
20220430,139-80010,-12887.2,-12500
20220430,139-80020,-16606,-16666.67
20220430,139-80030,-8991.43,-8333.33
20220430,139-80040,6494.66,6250
20220430,139-80050,4295.08,4166.67
20220430,139-90010,-33877.01,-33333.33
20220430,139-90020,-8257.62,-8333.33
20220430,139-90030,-4190.96,-4166.67
20220430,140-50010,391204.89,395833.33
20220430,140-50020,323991.64,316666.67
20220430,140-50030,240915.9,237500
20220430,140-50040,263528.45,197916.67
20220430,140-50050,151394.52,158333.33
20220430,140-50060,122962.15,118750
20220430,140-50070,144219.79,142500
20220430,140-50080,87082.19,95000
20220430,140-60010,-69651.3,-60000
20220430,140-60020,-62992.85,-45000
20220430,140-60030,-33061.09,-30000
20220430,140-60040,-25357.42,-22500
20220430,140-60050,-19201.9,-18750
20220430,140-70010,-15961.51,-15833.33
20220430,140-70020,-12047.58,-11875
20220430,140-70030,-13509.92,-14250
20220430,140-70040,-18290.84,-17416.67
